Feature,Coefficient,Absolute
employment_status_Unemployed,-0.09618353768644816,0.09618353768644816
composite_key_Young_Female_Underweight_Former_Yes,0.0959961709331256,0.0959961709331256
composite_key_Young_Male_Underweight_Former_No,0.09595347385505817,0.09595347385505817
employment_status_Retired,-0.09496550891147848,0.09496550891147848
composite_key_Mature_Female_Obese_Current_Yes,0.09466673289506236,0.09466673289506236
composite_key_Middle_Male_Normal_Former_No,-0.09445452284104605,0.09445452284104605
composite_key_Middle_Male_Overweight_Never_Yes,0.08913029085039002,0.08913029085039002
composite_key_Young_Female_Obese_Current_Yes,-0.08871308730847266,0.08871308730847266
composite_key_Middle_Female_Normal_Former_Yes,0.08853021466033067,0.08853021466033067
composite_key_Young_Female_Normal_Current_Yes,-0.08700679133552743,0.08700679133552743
composite_key_Mature_Male_Underweight_Never_Yes,-0.08554571976695302,0.08554571976695302
composite_key_Senior_Female_Obese_Former_Yes,0.08428075939097417,0.08428075939097417
composite_key_Mature_Male_Overweight_Current_Yes,0.08405614630644687,0.08405614630644687
composite_key_Senior_Female_Underweight_Never_No,0.08339913745558927,0.08339913745558927
composite_key_Young_Male_Normal_Never_Yes,0.0821949184897696,0.0821949184897696
composite_key_Middle_Male_Obese_Never_Yes,-0.07954430786186721,0.07954430786186721
composite_key_Young_Female_Overweight_Former_No,-0.07919259202712994,0.07919259202712994
composite_key_Middle_Male_Normal_Never_Yes,0.07674112741743844,0.07674112741743844
composite_key_Young_Female_Overweight_Current_Yes,-0.07668379481731773,0.07668379481731773
composite_key_Senior_Male_Underweight_Never_No,0.07667220594601146,0.07667220594601146
composite_key_Young_Female_Normal_Never_Yes,0.07644132948523491,0.07644132948523491
composite_key_Mature_Male_Obese_Current_Yes,0.07583199129508278,0.07583199129508278
composite_key_Middle_Male_Normal_Never_No,-0.07498904167248777,0.07498904167248777
composite_key_Senior_Female_Obese_Current_No,0.0746535432833491,0.0746535432833491
composite_key_Mature_Male_Normal_Never_No,-0.07398199323555915,0.07398199323555915
composite_key_Mature_Male_Underweight_Former_Yes,0.07150377765408983,0.07150377765408983
composite_key_Young_Female_Underweight_Current_Yes,0.07129519445772334,0.07129519445772334
composite_key_Middle_Female_Overweight_Never_Yes,0.06756490732657364,0.06756490732657364
blood_pressure,-0.06751577349837624,0.06751577349837624
composite_key_Middle_Female_Overweight_Current_Yes,-0.06719140775487847,0.06719140775487847
gender_Male,-0.0671636662165527,0.0671636662165527
composite_key_Senior_Male_Underweight_Current_No,0.06715785608459934,0.06715785608459934
diastolic_bp,0.0649209872600563,0.0649209872600563
composite_key_Senior_Female_Obese_Never_No,-0.06397080300109173,0.06397080300109173
composite_key_Senior_Male_Obese_Current_Yes,0.06275834429636748,0.06275834429636748
composite_key_Mature_Female_Underweight_Current_No,0.06119577859974124,0.06119577859974124
composite_key_Senior_Female_Normal_Current_Yes,0.0605945873880164,0.0605945873880164
composite_key_Middle_Female_Underweight_Former_No,0.060406308875245125,0.060406308875245125
composite_key_Young_Male_Normal_Never_No,0.05866186192675077,0.05866186192675077
composite_key_Senior_Female_Overweight_Current_No,0.05805903158203521,0.05805903158203521
composite_key_Young_Female_Normal_Former_Yes,0.05691965297951441,0.05691965297951441
crp_level,0.05682931590732421,0.05682931590732421
composite_key_Young_Male_Overweight_Current_Yes,0.05517576635535664,0.05517576635535664
composite_key_Young_Male_Obese_Never_Yes,-0.05433115577241851,0.05433115577241851
composite_key_Young_Male_Underweight_Never_Yes,0.05227401405016246,0.05227401405016246
composite_key_Senior_Female_Underweight_Former_Yes,-0.05154707432969974,0.05154707432969974
composite_key_Middle_Male_Overweight_Former_Yes,-0.05119704565188962,0.05119704565188962
composite_key_Mature_Female_Normal_Current_Yes,0.051167126394995266,0.051167126394995266
salt_intake,0.050654514762239033,0.050654514762239033
composite_key_Young_Male_Obese_Former_Yes,0.04987004566628331,0.04987004566628331
composite_key_Young_Female_Overweight_Never_Yes,-0.04954289390322464,0.04954289390322464
composite_key_Senior_Male_Underweight_Former_No,0.048362056816012716,0.048362056816012716
composite_key_Young_Male_Obese_Former_No,0.04476378392284128,0.04476378392284128
composite_key_Mature_Male_Underweight_Current_No,0.042622650566620235,0.042622650566620235
composite_key_Mature_Female_Underweight_Never_No,0.04175329257712543,0.04175329257712543
composite_key_Young_Male_Underweight_Current_No,0.040679131893234195,0.040679131893234195
sleep_hours,-0.0404700572243826,0.0404700572243826
composite_key_Mature_Male_Underweight_Former_No,0.03814665631497603,0.03814665631497603
composite_key_Middle_Male_Underweight_Former_Yes,-0.037979969956698376,0.037979969956698376
composite_key_Senior_Male_Obese_Current_No,0.03779196683961117,0.03779196683961117
composite_key_Middle_Male_Underweight_Current_No,-0.036341639901276895,0.036341639901276895
composite_key_Young_Male_Normal_Former_No,0.03459190103894318,0.03459190103894318
composite_key_Senior_Female_Underweight_Current_No,0.03343330451288001,0.03343330451288001
alcohol_intake,-0.03320082455894807,0.03320082455894807
composite_key_Middle_Female_Normal_Current_No,-0.030594478694132426,0.030594478694132426
composite_key_Mature_Male_Normal_Never_Yes,0.029916487967122873,0.029916487967122873
composite_key_Middle_Male_Underweight_Current_Yes,0.024002723360574074,0.024002723360574074
composite_key_Young_Female_Obese_Never_Yes,0.02399266210985526,0.02399266210985526
