Feature,Coefficient,Absolute
composite_key_Mature_Female_Underweight_Former_No,0.16578522131285903,0.16578522131285903
physical_activity_Moderate,-0.1628127600539337,0.1628127600539337
composite_key_Senior_Male_Underweight_Never_Yes,-0.16204333224680373,0.16204333224680373
composite_key_Senior_Male_Obese_Never_No,0.1612706871496368,0.1612706871496368
homocysteine_level,-0.15748412335935616,0.15748412335935616
composite_key_Middle_Female_Overweight_Former_Yes,-0.15715352819481826,0.15715352819481826
composite_key_Senior_Male_Normal_Never_Yes,0.15635818238092505,0.15635818238092505
composite_key_Mature_Female_Underweight_Current_Yes,-0.15605693084897032,0.15605693084897032
composite_key_Young_Female_Underweight_Never_No,-0.15179400787746977,0.15179400787746977
composite_key_Senior_Female_Obese_Former_No,-0.15136846578053123,0.15136846578053123
composite_key_Young_Male_Obese_Current_No,0.14795819434510132,0.14795819434510132
composite_key_Senior_Male_Normal_Current_Yes,-0.14530278902604385,0.14530278902604385
composite_key_Middle_Male_Obese_Current_No,-0.1432336654552156,0.1432336654552156
composite_key_Middle_Female_Underweight_Current_Yes,-0.14305050116360946,0.14305050116360946
composite_key_Young_Female_Normal_Former_No,-0.1425300580201283,0.1425300580201283
composite_key_Senior_Female_Underweight_Never_Yes,0.14181628323565532,0.14181628323565532
composite_key_Middle_Female_Obese_Former_Yes,-0.13330343745935536,0.13330343745935536
composite_key_Senior_Female_Underweight_Current_Yes,0.13310688870495982,0.13310688870495982
composite_key_Mature_Male_Underweight_Never_No,0.13256214996864957,0.13256214996864957
composite_key_Senior_Male_Obese_Former_No,-0.13120251004761435,0.13120251004761435
composite_key_Young_Female_Obese_Current_No,-0.129527145405747,0.129527145405747
composite_key_Middle_Male_Underweight_Never_Yes,-0.12942069869572354,0.12942069869572354
composite_key_Senior_Male_Overweight_Current_Yes,0.12550392451394352,0.12550392451394352
composite_key_Senior_Female_Overweight_Former_No,-0.1253939684526284,0.1253939684526284
composite_key_Young_Male_Obese_Current_Yes,-0.12428617238325705,0.12428617238325705
composite_key_Middle_Male_Obese_Current_Yes,-0.12385567755083769,0.12385567755083769
triglycerides,-0.12375453622111024,0.12375453622111024
composite_key_Middle_Female_Obese_Never_Yes,-0.12287455271083081,0.12287455271083081
composite_key_Mature_Male_Overweight_Current_No,-0.12141868059843161,0.12141868059843161
composite_key_Mature_Male_Normal_Current_No,0.1209868182912586,0.1209868182912586
composite_key_Young_Female_Obese_Former_Yes,-0.11960251943545698,0.11960251943545698
composite_key_Young_Female_Underweight_Former_No,0.11629287351747894,0.11629287351747894
heart_rate,-0.11512085872654788,0.11512085872654788
composite_key_Senior_Male_Normal_Former_No,-0.11469939726471978,0.11469939726471978
composite_key_Mature_Female_Obese_Current_No,0.11190774201511085,0.11190774201511085
composite_key_Young_Male_Overweight_Never_Yes,0.11152785444844229,0.11152785444844229
composite_key_Young_Female_Obese_Former_No,-0.10868159352231353,0.10868159352231353
composite_key_Young_Male_Normal_Current_Yes,-0.10306901407491402,0.10306901407491402
employment_status_Unemployed,-0.09618439928536449,0.09618439928536449
composite_key_Young_Female_Underweight_Former_Yes,0.09599900649962308,0.09599900649962308
composite_key_Young_Male_Underweight_Former_No,0.09596172543855273,0.09596172543855273
employment_status_Retired,-0.09496438091749938,0.09496438091749938
composite_key_Mature_Female_Obese_Current_Yes,0.09466228177022867,0.09466228177022867
composite_key_Middle_Male_Normal_Former_No,-0.09444016443296747,0.09444016443296747
composite_key_Middle_Male_Overweight_Never_Yes,0.08913830710721364,0.08913830710721364
composite_key_Young_Female_Obese_Current_Yes,-0.08870296258783504,0.08870296258783504
composite_key_Middle_Female_Normal_Former_Yes,0.0885254075199565,0.0885254075199565
composite_key_Young_Female_Normal_Current_Yes,-0.08699885529655545,0.08699885529655545
composite_key_Mature_Male_Underweight_Never_Yes,-0.08555415876974332,0.08555415876974332
composite_key_Senior_Female_Obese_Former_Yes,0.0842880405202258,0.0842880405202258
composite_key_Mature_Male_Overweight_Current_Yes,0.08407000719821835,0.08407000719821835
composite_key_Senior_Female_Underweight_Never_No,0.08341652525993168,0.08341652525993168
composite_key_Young_Male_Normal_Never_Yes,0.08219734278331424,0.08219734278331424
composite_key_Middle_Male_Obese_Never_Yes,-0.079539150263127,0.079539150263127
composite_key_Young_Female_Overweight_Former_No,-0.07919083417705397,0.07919083417705397
composite_key_Middle_Male_Normal_Never_Yes,0.07672429503006825,0.07672429503006825
composite_key_Senior_Male_Underweight_Never_No,0.07668417629288635,0.07668417629288635
composite_key_Young_Female_Overweight_Current_Yes,-0.07667131445512788,0.07667131445512788
composite_key_Young_Female_Normal_Never_Yes,0.07644900382556245,0.07644900382556245
composite_key_Mature_Male_Obese_Current_Yes,0.07584071610432895,0.07584071610432895
composite_key_Middle_Male_Normal_Never_No,-0.07495957092024591,0.07495957092024591
